title,data sorce,info,details link
"한국산업안전보건공단_사업장 안내방송 음원 - 코로나19 감염 예방, 스트레칭",한국산업안전보건공단,- 코로나19 감염 예방 : 환기 및 마스크 착용- 근골격계질환 예방 : 스트레칭** 사업장 환경에 맞게 편집하여 활용하실 수 있습니다,https://www.data.go.kr/data/15088328/fileData.do
강원도 화천군_코로나19 확진자 현황,강원도 화천군,"강원도 화천군의 코로나19 확진자 현황에 관한 데이터로, 연번/날짜/확진자수/비고/데이터기준일의 정보를 제공합니다.",https://www.data.go.kr/data/15085365/fileData.do
강원도 삼척시_코로나19 확진자 현황,강원도 삼척시,"강원도 삼척시의 코로나19 확진자 현황에 관한 데이터로, 연번/날짜/확진자수/비고/데이터기준일의 정보를 제공합니다",https://www.data.go.kr/data/15085541/fileData.do
충청남도 당진시_코로나19 검사자 현황,충청남도 당진시,"당진시 읍면동별 코로나19 검사 후 결과(내국인 양성, 내국인 음성, 외국인 양성, 외국인 음성 등)에 대한 현황 데이터입니다.",https://www.data.go.kr/data/15091046/fileData.do
인천광역시 동구_코로나19 확진자 현황,인천광역시 동구,인천광역시 동구 2020년 3월 19일 1번 확진자 부터 2021년 7월 29일 122번 확진자 까지의 일자별 확진자 수 현황 데이터입니다.,https://www.data.go.kr/data/15084608/fileData.do
근로복지공단_코로나19 산재처리 현황,근로복지공단,"근로복지공단에서 코로나19로 산재처리 된 현황입니다.(처리건수, 승인건수, 불승인건수, 사망 승인건수, 사망 불승인 건수)",https://www.data.go.kr/data/15087508/fileData.do
대구광역시 달성군_코로나19 확진자 일별 현황,대구광역시 달성군,본 데이터는 20년도 코로나19와 관련하여 달성군 코로나 19 확진자 현황을 일별로 기록한 자료입니다.날짜 및 확진자 수로만 표기 합니다.,https://www.data.go.kr/data/15080616/fileData.do
강원도 춘천시_코로나19확진자 월별,강원도 춘천시,코로나19가 발생한 이후(2020년 1월부터) 춘천시 확진자의 월별 데이터. 읍면동 단위의 경우 '확진환자의 이동경로 등 정보공개 지침'에 따라 공개할수 없음,https://www.data.go.kr/data/15085780/fileData.do
공공데이터활용지원센터_코로나19 예방접종센터 현황,공공데이터활용지원센터,"중앙•권역, 지역별 코로나19 예방접종센터 주소정보입니다. 예방접종센터 정보는 질병관리청의 센터 추가 설치 및 폐지에 맞춰서 현행화하여 제공할 예정입니다.",https://www.data.go.kr/data/15077603/fileData.do
인천광역시 중구_코로나19확진자 현황,인천광역시 중구,"인천광역시 중구 코로나19 바이러스 확진자 현황에 대한 파일 데이터중구 번호, 확진 일자 및 데이터 기준 일자 입력 현황 표",https://www.data.go.kr/data/15084806/fileData.do
서울특별시 강북구_코로나19 행정동별 확진자 및 완치자 수,서울특별시 강북구,강북구 코로나 19 행정동별 확진자 및 완치자 수,https://www.data.go.kr/data/15061859/fileData.do
인천광역시 중구_월별 코로나19확진자수,인천광역시 중구,"인천광역시 중구 코로나19 바이러스 월별 확진자수 현황에 대한 파일 데이터연번, 연월, 코로나19 확진자 수 및 데이터 기준 일자 입력 종합 현황 표",https://www.data.go.kr/data/15084807/fileData.do
"서울특별시 동작구_동별,일별 코로나19 확진자 현황",서울특별시 동작구,"서울특별시 동작구 코로나 19 확진자 수(동별, 일별)- 2020",https://www.data.go.kr/data/15075903/fileData.do
한국개발연구원_코로나19 경제위기와 가계소비,한국개발연구원,"코로나19 확산으로 인한 사회활동 제약과 대면소비에 대한 기피는 전체 가계소비의 감소요인으로 작용하였으나, 비대면소비는 오히려 증가시킨 것으로 분석됨.",https://www.data.go.kr/data/15081974/fileData.do
대전광역시_의회 코로나19와 청소년연구회 연구결과,대전광역시,코로나19 이후 교육환경 변화에 의한 청소년 삶의 변화에 대한 코로나19와 청소년연구회 연구결과 입니다.,https://www.data.go.kr/data/15077125/fileData.do
강원도 태백시_ 코로나19 월별 확진자 현황,강원도 태백시,"2020년 1월부터 2021년 8월 8일 까지의 강원도 태백시 코로나19 확진 현황에 대한 데이터로 연도별,월별,읍면동 현황 등의 항목을 제공합니다",https://www.data.go.kr/data/15085711/fileData.do
경상남도 의령군_경상남도 의령군 코로나예방접종센터및위탁의료기관현황,경상남도 의령군,"경남 의령군에 코로나 예방접종센터 및 위탁의료기관 현황 정보를 제공합니다. 의료기관명, 기관의 종류, 시설명, 소재지 주소, 전화번호 정보를 제공합니다.",https://www.data.go.kr/data/15090073/fileData.do
소방청_코로나19 대응 119구급대 운영 현황,소방청,"코로나19 대응 119구급대 운영 현황(`20.1.3~9.21)코로나19(COVID-19) 대응 관련 내외국인을 대상으로 확진/의심 환자 이송, 병원간 전원, 검체",https://www.data.go.kr/data/15066554/fileData.do
대구광역시 달서구_일별 코로나19 확진자 현황,대구광역시 달서구,"이 파일은 일별, 누적별로 대구광역시 달서구 코로나19 확진자 발생 현황을 날짜 및 확진자 수로 설명함. (작성날짜 기준)",https://www.data.go.kr/data/15080620/fileData.do
한국개발연구원_코로나19 확산에 따른 거시경제 경로 전망,한국개발연구원,본고에서는 코로나19 확산으로 인한 다양한 시나리오를 가정하여 향후 거시경제 흐름을 가늠하고자 함.,https://www.data.go.kr/data/15060035/fileData.do
한국개발연구원_코로나19 고용충격의 성별격차와 시사점,한국개발연구원,"코로나19 위기로 인해 산업별, 종사상 지위별, 성별 등 다양한 측면에서 차별적인 고용충격이 발생하고 있음.",https://www.data.go.kr/data/15081220/fileData.do
한국언론진흥재단_미디어이슈_코로나19 관련 시민 인식조사,한국언론진흥재단,한국언론진흥재단 미디어 이슈 (20년 5호)에서 코로나19 관련 시민 인식 조사를 정리한 데이터입니다. 자세한 내용은 홈페이지 참고 바랍니다.,https://www.data.go.kr/data/15086550/fileData.do
